"Codgeo";"ZInter_fact_40000"
"02072";"Reg_I1_13"
"02073";"Reg_I1_37"
"02074";"Reg_32_72"
"02075";"Reg_32_72"
"02076";"Reg_I1_37"
"02077";"Reg_32_80"
"02078";"Reg_32_18"
"02079";"Reg_I1_17"
"02080";"Reg_I1_13"
"02081";"Reg_32_18"
"02082";"Reg_32_80"
"02083";"Reg_I1_13"
"02084";"Reg_I1_5"
"02085";"Reg_I1_49"
"02086";"Reg_32_18"
"02087";"Reg_32_80"
"02088";"Reg_I1_59"
"02089";"Reg_32_80"
"02090";"Reg_32_80"
"02091";"Reg_I1_13"
"02093";"Reg_32_18"
"02094";"Reg_I1_49"
"02095";"Reg_32_71"
"02096";"Reg_I1_13"
"02097";"Reg_I1_17"
"02098";"Reg_I1_5"
"02099";"Reg_I1_5"
"02100";"Reg_32_71"
"02101";"Reg_I1_17"
"02102";"Reg_I1_13"
"02103";"Reg_32_26"
"02104";"Reg_I1_40"
"02105";"Reg_I1_5"
"02106";"Reg_I1_13"
"02107";"Reg_32_18"
"02108";"Reg_I1_59"
"02109";"Reg_32_76"
"02110";"Reg_I1_13"
"02111";"Reg_32_80"
"02112";"Reg_32_71"
"02114";"Reg_I1_49"
"02115";"Reg_I1_13"
"02116";"Reg_I1_17"
"02117";"Reg_32_78"
"02118";"Reg_32_80"
"02119";"Reg_I1_49"
"02120";"Reg_32_80"
"02121";"Reg_I1_49"
"02122";"Reg_32_72"
"02123";"Reg_32_72"
"02124";"Reg_32_72"
"02125";"Reg_I1_5"
"02126";"Reg_I1_17"
"02127";"Reg_32_80"
"02128";"Reg_I1_59"
"02129";"Reg_I1_13"
"02130";"Reg_32_76"
"02131";"Reg_32_80"
"02132";"Reg_32_80"
"02133";"Reg_I1_13"
"02134";"Reg_32_76"
"02135";"Reg_32_26"
"02136";"Reg_I1_17"
"02137";"Reg_I1_5"
"02138";"Reg_32_80"
"02139";"Reg_32_18"
"02140";"Reg_32_18"
"02141";"Reg_32_26"
"02142";"Reg_32_71"
"02143";"Reg_32_71"
"02144";"Reg_32_78"
"02145";"Reg_32_18"
"02146";"Reg_I1_16"
"02148";"Reg_32_80"
"02149";"Reg_32_71"
"02150";"Reg_I1_13"
"02151";"Reg_32_80"
"02152";"Reg_32_80"
"02153";"Reg_32_80"
"02154";"Reg_32_80"
"02155";"Reg_I1_59"
"02156";"Reg_I1_13"
"02157";"Reg_I1_59"
"02158";"Reg_I1_13"
"02159";"Reg_32_18"
"02160";"Reg_I1_17"
"02162";"Reg_I1_49"
"02163";"Reg_I1_5"
"02164";"Reg_I1_13"
"02165";"Reg_32_72"
"02166";"Reg_I1_13"
"02167";"Reg_32_80"
"02168";"Reg_I1_49"
"02169";"Reg_I1_17"
"02170";"Reg_32_72"
"02171";"Reg_I1_13"
"02172";"Reg_32_80"
"02173";"Reg_32_18"
"02174";"Reg_I1_59"
"02175";"Reg_32_80"
"02176";"Reg_32_80"
"02177";"Reg_I1_59"
"02178";"Reg_I1_13"
"02179";"Reg_I1_13"
"02180";"Reg_I1_13"
"02181";"Reg_I1_17"
"02182";"Reg_I1_17"
"02183";"Reg_I1_59"
"02184";"Reg_32_72"
"02185";"Reg_I1_5"
"02186";"Reg_I1_5"
"02187";"Reg_I1_49"
"02188";"Reg_I1_17"
"02189";"Reg_I1_13"
"02190";"Reg_32_80"
"02191";"Reg_32_80"
"02192";"Reg_32_80"
"02193";"Reg_I1_16"
"02194";"Reg_I1_17"
"02195";"Reg_32_80"
"02196";"Reg_32_80"
"02197";"Reg_32_76"
"02198";"Reg_32_80"
"02199";"Reg_32_71"
"02200";"Reg_I1_17"
"02201";"Reg_32_80"
"02203";"Reg_I1_49"
"02204";"Reg_I1_17"
"02205";"Reg_I1_59"
"02206";"Reg_I1_17"
"02207";"Reg_32_18"
"02208";"Reg_I1_13"
"02209";"Reg_I1_16"
"02210";"Reg_32_80"
"02211";"Reg_I1_37"
"02212";"Reg_32_18"
"02213";"Reg_I1_16"
"02214";"Reg_32_71"
"02215";"Reg_I1_13"
"02216";"Reg_32_80"
"02217";"Reg_32_18"
"02218";"Reg_I1_13"
"02219";"Reg_32_18"
"02220";"Reg_I1_13"
"02221";"Reg_I1_5"
"02222";"Reg_32_72"
"02223";"Reg_I1_49"
"02224";"Reg_I1_13"
"02225";"Reg_I1_5"
"02226";"Reg_32_80"
"02227";"Reg_I1_16"
"02228";"Reg_I1_16"
"02229";"Reg_I1_13"
"02230";"Reg_32_80"
"02231";"Reg_I1_13"
"02232";"Reg_I1_22"
"02233";"Reg_32_80"
"02234";"Reg_I1_13"
"02235";"Reg_I1_13"
"02236";"Reg_32_80"
"02237";"Reg_I1_13"
"02238";"Reg_32_72"
"02239";"Reg_I1_16"
"02240";"Reg_32_71"
"02241";"Reg_I1_49"
"02242";"Reg_I1_5"
"02243";"Reg_32_14"
"02244";"Reg_I1_17"
"02245";"Reg_32_14"
"02246";"Reg_32_18"
"02248";"Reg_I1_17"
"02249";"Reg_I1_13"
"02250";"Reg_I1_13"
"02251";"Reg_I1_17"
"02252";"Reg_I1_13"
"02253";"Reg_32_80"
"02254";"Reg_32_80"
"02255";"Reg_I1_13"
"02256";"Reg_I1_17"
"02257";"Reg_32_71"
"02258";"Reg_I1_5"
"02259";"Reg_32_80"
"02260";"Reg_32_72"
"02261";"Reg_I1_13"
"02262";"Reg_32_72"
"02263";"Reg_I1_13"
"02264";"Reg_I1_17"
"02265";"Reg_I1_17"
"02266";"Reg_I1_17"
"02267";"Reg_32_80"
"02268";"Reg_I1_5"
"02269";"Reg_I1_17"
"02270";"Reg_32_78"
"02271";"Reg_I1_13"
"02272";"Reg_32_80"
"02273";"Reg_32_71"
"02274";"Reg_I1_17"
"02275";"Reg_32_76"
"02276";"Reg_I1_17"
"02277";"Reg_32_80"
"02278";"Reg_32_76"
"02279";"Reg_I1_5"
"02280";"Reg_I1_49"
"02281";"Reg_I1_49"
"02282";"Reg_I1_59"
"02283";"Reg_I1_13"
"02284";"Reg_I1_17"
"02286";"Reg_I1_17"
"02287";"Reg_32_71"
"02288";"Reg_I1_17"
"02289";"Reg_I1_49"
"02290";"Reg_I1_5"
"02291";"Reg_32_71"
"02292";"Reg_I1_49"
"02293";"Reg_I1_17"
"02294";"Reg_I1_59"
"02295";"Reg_32_76"
"02296";"Reg_32_78"
"02297";"Reg_I1_5"
"02298";"Reg_32_26"
"02299";"Reg_I1_37"
"02301";"Reg_32_80"
"02302";"Reg_32_80"
"02303";"Reg_32_71"
"02304";"Reg_32_72"
"02305";"Reg_I1_13"
"02306";"Reg_32_72"
"02307";"Reg_I1_5"
"02308";"Reg_32_22"
"02309";"Reg_I1_13"
"02310";"Reg_I1_17"
"02311";"Reg_I1_59"
"02312";"Reg_32_26"
"02313";"Reg_I1_17"
"02315";"Reg_32_18"
"02316";"Reg_32_80"
"02317";"Reg_32_78"
"02318";"Reg_32_18"
"02319";"Reg_I1_17"
"02320";"Reg_32_71"
"02321";"Reg_32_76"
"02322";"Reg_I1_17"
"02323";"Reg_I1_17"
"02324";"Reg_32_22"
"02326";"Reg_32_80"
"02327";"Reg_32_78"
"02328";"Reg_I1_49"
"02329";"Reg_32_72"
"02330";"Reg_32_71"
"02331";"Reg_I1_17"
"02332";"Reg_I1_13"
"02333";"Reg_32_80"
"02334";"Reg_32_71"
"02335";"Reg_32_72"
"02336";"Reg_32_18"
"02337";"Reg_32_76"
"02338";"Reg_I1_17"
"02339";"Reg_I1_5"
"02340";"Reg_32_25"
"02341";"Reg_I1_17"
"02342";"Reg_32_76"
"02343";"Reg_32_78"
"02344";"Reg_I1_13"
"02345";"Reg_32_72"
"02346";"Reg_I1_13"
"02347";"Reg_I1_49"
"02349";"Reg_I1_13"
"02350";"Reg_I1_13"
"02351";"Reg_I1_16"
"02352";"Reg_32_71"
"02353";"Reg_I1_13"
"02354";"Reg_I1_17"
"02355";"Reg_32_78"
"02356";"Reg_I1_49"
"02357";"Reg_I1_17"
"02358";"Reg_I1_17"
"02359";"Reg_32_25"
"02360";"Reg_I1_37"
"02361";"Reg_I1_17"
"02362";"Reg_32_18"
"02363";"Reg_32_18"
"02364";"Reg_I1_40"
"02366";"Reg_I1_17"
"02367";"Reg_32_78"
"02368";"Reg_I1_22"
"02369";"Reg_I1_17"
