"Codgeo";"ZInter_fact70_40000"
"02238";"Reg_32_22"
"02239";"Reg_I1_14"
"02240";"Reg_32_22"
"02241";"Reg_I1_46"
"02242";"Reg_I1_4"
"02243";"Reg_32_14"
"02244";"Reg_I1_15"
"02245";"Reg_32_14"
"02246";"Reg_32_18"
"02248";"Reg_I1_15"
"02249";"Reg_I1_46"
"02250";"Reg_I1_20"
"02251";"Reg_I1_15"
"02252";"Reg_I1_54"
"02253";"Reg_32_18"
"02254";"Reg_32_18"
"02255";"Reg_I1_46"
"02256";"Reg_I1_15"
"02257";"Reg_32_22"
"02258";"Reg_I1_4"
"02259";"Reg_32_18"
"02260";"Reg_32_22"
"02261";"Reg_I1_54"
"02262";"Reg_32_22"
"02263";"Reg_I1_46"
"02264";"Reg_I1_15"
"02265";"Reg_I1_15"
"02266";"Reg_I1_15"
"02267";"Reg_32_18"
"02268";"Reg_I1_4"
"02269";"Reg_I1_15"
"02270";"Reg_32_22"
"02271";"Reg_I1_20"
"02272";"Reg_32_18"
"02273";"Reg_32_22"
"02274";"Reg_I1_15"
"02275";"Reg_32_26"
"02276";"Reg_I1_15"
"02277";"Reg_32_18"
"02278";"Reg_32_26"
"02279";"Reg_I1_4"
"02280";"Reg_I1_46"
"02281";"Reg_I1_46"
"02282";"Reg_I1_54"
"02283";"Reg_I1_54"
"02284";"Reg_I1_15"
"02286";"Reg_I1_15"
"02287";"Reg_32_22"
"02288";"Reg_I1_15"
"02289";"Reg_I1_46"
"02290";"Reg_I1_4"
"02291";"Reg_32_22"
"02292";"Reg_I1_46"
"02293";"Reg_I1_15"
"02294";"Reg_I1_54"
"02295";"Reg_32_26"
"02296";"Reg_32_22"
"02297";"Reg_I1_4"
"02298";"Reg_32_26"
"02299";"Reg_I1_32"
"02301";"Reg_32_18"
"02302";"Reg_32_18"
"02303";"Reg_32_22"
"02304";"Reg_32_22"
"02305";"Reg_I1_46"
"02306";"Reg_32_22"
"02307";"Reg_I1_4"
"02308";"Reg_32_22"
"02309";"Reg_I1_54"
"02310";"Reg_I1_15"
"02311";"Reg_I1_54"
"02312";"Reg_32_26"
"02313";"Reg_I1_15"
"02315";"Reg_32_18"
"02316";"Reg_32_18"
"02317";"Reg_32_22"
"02318";"Reg_32_18"
"02319";"Reg_I1_15"
"02320";"Reg_32_22"
"02321";"Reg_32_26"
"02322";"Reg_I1_15"
"02323";"Reg_I1_15"
"02324";"Reg_32_22"
"02326";"Reg_32_18"
"02327";"Reg_32_22"
"02328";"Reg_I1_46"
"02329";"Reg_32_22"
"02330";"Reg_32_22"
"02331";"Reg_I1_15"
"02332";"Reg_I1_46"
"02333";"Reg_32_18"
"02334";"Reg_32_22"
"02335";"Reg_32_22"
"02336";"Reg_32_18"
"02337";"Reg_32_26"
"02338";"Reg_I1_15"
"02339";"Reg_I1_4"
"02340";"Reg_32_25"
